Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
253134047,203043197,EURJPY,30,7.0,0.1,7.0,-0.4,0.058000000000021146,0.4939999999999998,0.632000000000005,0.09000000000000341,0.6090000000000089,0.5440000000000111,0.13000000000002387,0.018000000000000682,-0.10999999999998522,0.4759999999999991,1.1100000000000136
253137360,110416170,EURUSD,240,11.0,-0.1,11.0,-0.5,-0.0029999999999998916,-0.0019199999999999218,-0.00014999999999987246,-0.002749999999999808,0.0009100000000001884,-0.002309999999999812,-0.0005399999999999849,-0.0011699999999998933,0.0007500000000000284,0.0030799999999999716,0.00048000000000003595
253141704,203020122,EURJPY,30,10.0,0.3,9.0,0.3,0.2510000000000048,0.7140000000000271,0.6059999999999945,0.025999999999982037,-0.4339999999999975,0.4029999999999916,0.018000000000000682,-0.058000000000021146,-0.05500000000000682,0.5580000000000211,1.0279999999999916
253155332,201537140,EURJPY,15,5.0,0.1,4.0,-0.5,0.060000000000002274,0.5669999999999789,0.3400000000000034,-0.5559999999999832,0.25,0.12100000000000932,-0.06999999999999318,-0.08099999999998886,-0.12699999999998113,0.6550000000000011,0.9310000000000116
253156901,822412345,US500,1440,8.0,0.5,1.0,0.0,1.3999999999996362,14.399999999999636,1.3999999999996362,-11.200000000000728,-9.700000000000728,-2.0,-50.20000000000073,-51.20000000000073,-75.70000000000073,15.200000000000728,0.0
253156922,852412345,NAS100,1440,8.0,0.4,3.0,0.3,-1.2999999999992724,41.900000000001455,3.900000000001455,-41.20000000000073,-27.099999999998545,-15.299999999999272,-406.5,-424.5,-569.0,57.20000000000073,0.0
253160675,201522170,EURJPY,15,11.0,0.4,11.0,-0.4,-0.5500000000000114,-0.08100000000001728,-0.29599999999999227,-0.5810000000000173,-0.10500000000001819,0.5699999999999932,0.0049999999999954525,-0.012000000000000455,-0.09499999999999886,0.5589999999999975,0.08099999999998886
253161453,110416170,EURUSD,240,6.0,-0.4,9.0,-0.5,-0.0030000000000001137,-0.0007399999999999629,0.00029999999999996696,0.00017999999999984695,-0.003070000000000128,-0.0036000000000000476,0.0013600000000000279,-0.0003500000000000725,-0.0028799999999999937,0.0030200000000000227,0.0017700000000000493
253161510,173017191,USDJPY,30,5.0,-0.1,9.0,0.5,-0.75,-0.46699999999998454,0.6739999999999782,-0.1290000000000191,0.14999999999997726,0.3359999999999843,-0.016000000000019554,0.0049999999999954525,-0.01099999999999568,0.7650000000000148,0.7649999999999864
253161573,200416139,EURJPY,240,5.0,-0.2,3.0,-0.4,0.18299999999999272,0.6089999999999804,0.4860000000000184,-0.2109999999999843,0.2580000000000098,0.5980000000000132,-0.3529999999999802,-0.23099999999999454,0.22100000000000364,0.5370000000000061,1.0490000000000066
