Ticket,Magic,Symbol,TF,ATR_entry,MAE,MFE,MAE_ATR,MFE_ATR,E_Ratio_trade
200320517,220167120,GBPJPY,60,0.253929,0.379000,2.684000,1.492546,10.569902,7.081794
200320524,220154117,GBPJPY,60,0.289714,0.126000,3.191000,0.434911,11.014300,25.325397
200321955,220118191,GBPJPY,60,0.297571,0.072000,3.094000,0.241959,10.397504,42.972222
200321961,22011619,GBPJPY,60,0.286929,0.148000,2.407000,0.515808,8.388847,16.263514
200325941,220132119,GBPJPY,60,0.297571,0.391000,2.759000,1.313970,9.271723,7.056266
200325965,22011865,GBPJPY,60,0.274857,0.000000,2.382000,,,
200329608,220177157,GBPJPY,60,0.294357,0.290000,2.050000,0.985198,6.964329,7.068966
200332025,20153210,EURJPY,15,0.064071,0.113000,0.752000,1.763657,11.736901,6.654867
200332536,22018200,GBPJPY,60,0.274857,0.138000,2.053000,0.502079,7.469335,14.876812
200332927,810411336,US30,240,143.785714,0.000000,755.200000,,,
200383088,120156886,GBPUSD,60,0.002216,0.007190,0.000410,3.243957,0.184982,0.057024
200408847,910414947,XAUUSD,240,8.513571,17.460000,6.330000,2.050843,0.743519,0.362543
200409392,91303683,XAUUSD,30,3.182857,9.340000,0.680000,2.934470,0.213645,0.072805
200412577,120176143,GBPUSD,60,0.001106,0.000530,0.003390,0.479328,3.065891,6.396226
200413268,17017650,USDJPY,60,0.186357,0.568000,0.270000,3.047911,1.448831,0.475352
200430318,11042362,EURUSD,240,0.002180,0.012030,0.003050,5.518349,1.399083,0.253533
200432843,22042161,GBPJPY,240,0.530571,1.506000,0.286000,2.838449,0.539041,0.189907
200432847,110112110,EURUSD,60,0.000926,0.000820,0.006520,0.885802,7.043210,7.951220
200432853,22045560,GBPJPY,240,0.530571,1.506000,0.286000,2.838449,0.539041,0.189907
200432862,220428175,GBPJPY,240,0.530571,1.755000,0.037000,3.307754,0.069736,0.021083
200432884,220421159,GBPJPY,240,0.530571,1.774000,0.000000,3.343565,0.000000,0.000000
200433057,20153090,EURJPY,15,0.107929,0.282000,0.231000,2.612839,2.140304,0.819149
200435749,220163569,GBPJPY,60,0.240143,0.824000,0.096000,3.431291,0.399762,0.116505
200435756,220149150,GBPJPY,60,0.334357,1.025000,0.416000,3.065584,1.244179,0.405854
200435773,120143281,GBPUSD,60,0.001476,0.005420,0.007150,3.671021,4.842767,1.319188
200436584,913065166,XAUUSD,30,3.947857,5.990000,11.270000,1.517279,2.854713,1.881469
200437509,220198149,GBPJPY,60,0.334357,0.894000,0.095000,2.673788,0.284127,0.106264
200438532,221518164,GBPJPY,15,0.141929,1.147000,0.294000,8.081530,2.071465,0.256321
200439497,910436106,XAUUSD,240,7.878571,11.200000,0.880000,1.421578,0.111695,0.078571
200440557,223022483,GBPJPY,30,0.165571,1.115000,0.071000,6.734254,0.428818,0.063677
200440566,223022483,GBPJPY,30,0.184286,1.005000,0.436000,5.453488,2.365891,0.433831
200441613,220167120,GBPJPY,60,0.334357,1.038000,0.315000,3.104465,0.942106,0.303468
200443883,220149150,GBPJPY,60,0.200929,1.216000,0.498000,6.051902,2.478493,0.409539
200444730,910143114,XAUUSD,60,3.090000,12.990000,5.690000,4.203883,1.841424,0.438029
200445491,220177157,GBPJPY,60,0.334357,1.057000,0.296000,3.161290,0.885281,0.280038
200446333,220154117,GBPJPY,60,0.226214,1.061000,0.517000,4.690243,2.285444,0.487276
200446335,220167120,GBPJPY,60,0.245571,1.168000,0.624000,4.756254,2.541012,0.534247
200446336,220141135,GBPJPY,60,0.204500,1.315000,0.477000,6.430318,2.332518,0.362738
200446590,221513194,GBPJPY,15,0.305571,0.995000,0.446000,3.256194,1.459561,0.448241
200447488,120156886,GBPUSD,60,0.001264,0.004680,0.007890,3.703787,6.244206,1.685897
200448576,220132119,GBPJPY,60,0.200929,0.878000,0.496000,4.369712,2.468539,0.564920
200448605,910424666,XAUUSD,240,7.782143,2.170000,6.710000,0.278844,0.862230,3.092166
200450951,220177157,GBPJPY,60,0.240143,1.581000,0.211000,6.583581,0.878644,0.133460
200456714,221585147,GBPJPY,15,0.098786,1.251000,0.327000,12.663774,3.310195,0.261391
200458693,223038149,GBPJPY,30,0.353429,0.731000,0.622000,2.068310,1.759903,0.850889
200460082,223022108,GBPJPY,30,0.129143,0.722000,0.388000,5.590708,3.004425,0.537396
200461623,220118191,GBPJPY,60,0.204500,1.124000,0.250000,5.496333,1.222494,0.222420
200461968,221510100,GBPJPY,15,0.134357,0.951000,0.235000,7.078150,1.749070,0.247108
200462051,220118191,GBPJPY,60,0.334357,1.011000,0.387000,3.023713,1.157445,0.382789
200462056,22042132,GBPJPY,240,0.530571,1.585000,0.207000,2.987345,0.390145,0.130599
200462162,20153090,EURJPY,15,0.065786,0.254000,0.640000,3.861021,9.728556,2.519685
200462803,11011147,EURUSD,60,0.001509,0.002600,0.000840,1.722669,0.556555,0.323077
200462809,120176143,GBPUSD,60,0.001118,0.008940,0.003630,7.997444,3.247284,0.406040
200463800,910424666,XAUUSD,240,7.345000,9.070000,4.460000,1.234854,0.607216,0.491731
200464774,17017650,USDJPY,60,0.280857,0.906000,0.640000,3.225839,2.278739,0.706402
200464781,220156108,GBPJPY,60,0.334357,0.860000,0.581000,2.572100,1.737663,0.675581
200464817,12011595,GBPUSD,60,0.001344,0.004150,0.001660,3.087141,1.234857,0.400000
200465716,203031880,EURJPY,30,0.296286,0.668000,0.800000,2.254581,2.700096,1.197605
200465719,223071158,GBPJPY,30,0.353429,0.596000,0.757000,1.686338,2.141876,1.270134
200466609,17017650,USDJPY,60,0.422286,0.668000,0.146000,1.581867,0.345737,0.218563
200466631,223012186,GBPJPY,30,0.353429,0.669000,0.684000,1.892886,1.935327,1.022422
200470344,110167100,EURUSD,60,0.001038,0.000080,0.005830,0.077082,5.617343,72.875000
200471049,22011619,GBPJPY,60,0.388071,1.084000,0.435000,2.793300,1.120928,0.401292
200471111,17011586,USDJPY,60,0.406429,0.267000,0.383000,0.656942,0.942355,1.434457
200472139,223022108,GBPJPY,30,0.441071,0.672000,0.141000,1.523563,0.319676,0.209821
200473636,223030112,GBPJPY,30,0.234786,1.370000,0.071000,5.835108,0.302403,0.051825
200481324,120122468,GBPUSD,60,0.001344,0.007020,0.002810,5.222104,2.090329,0.400285
200485007,223023153,GBPJPY,30,0.249857,1.107000,0.334000,4.430532,1.336764,0.301716
200486692,20153090,EURJPY,15,0.071929,0.068000,0.899000,0.945382,12.498510,13.220588
200487698,221585147,GBPJPY,15,0.126286,0.851000,0.590000,6.738688,4.671946,0.693302
200488143,220154117,GBPJPY,60,0.202286,0.644000,0.797000,3.183616,3.939972,1.237578
200488455,220159174,GBPJPY,60,0.205643,0.674000,0.767000,3.277527,3.729767,1.137982
200492067,220112186,GBPJPY,60,0.278571,0.550000,0.891000,1.974359,3.198462,1.620000
200493264,120100069,GBPUSD,60,0.001219,0.005430,0.004160,4.456038,3.413834,0.766114
200508242,913016114,XAUUSD,30,5.890714,31.840000,5.880000,5.405117,0.998181,0.184673
200508244,910436106,XAUUSD,240,10.323571,12.490000,0.240000,1.209853,0.023248,0.019215
200514158,913073101,XAUUSD,30,6.179286,21.370000,2.810000,3.458329,0.454745,0.131493
200515733,910424666,XAUUSD,240,7.002857,1.240000,12.120000,0.177071,1.730722,9.774194
200534390,17011586,USDJPY,60,0.256143,0.242000,0.015000,0.944785,0.058561,0.061983
200539890,223011130,GBPJPY,30,0.186214,0.350000,0.236000,1.879555,1.267357,0.674286
200541951,910414947,XAUUSD,240,7.002857,16.090000,38.610000,2.297634,5.513464,2.399627
200547838,800413945,GER40,240,64.307143,36.100000,66.500000,0.561368,1.034100,1.842105
200551939,22011095,GBPJPY,60,0.264143,0.702000,1.346000,2.657653,5.095727,1.917379
200556449,91303683,XAUUSD,30,2.027857,7.140000,8.220000,3.520958,4.053540,1.151261
200560607,203031880,EURJPY,30,0.192929,1.945000,0.317000,10.081451,1.643095,0.162982
200560655,220428175,GBPJPY,240,0.448286,0.324000,2.048000,0.722753,4.568515,6.320988
200560673,223071158,GBPJPY,30,0.194500,0.138000,0.226000,0.709512,1.161954,1.637681
200560687,221575192,GBPJPY,15,0.088571,0.132000,0.133000,1.490323,1.501613,1.007576
200560907,120143281,GBPUSD,60,0.001354,0.010780,0.005070,7.959916,3.743671,0.470315
200560921,223022483,GBPJPY,30,0.194500,0.301000,2.207000,1.547558,11.347044,7.332226
200561514,913065166,XAUUSD,30,2.811429,11.010000,0.970000,3.916159,0.345020,0.088102
200561694,220112186,GBPJPY,60,0.214500,2.974000,0.090000,13.864802,0.419580,0.030262
200561714,910122169,XAUUSD,60,3.770714,14.740000,4.780000,3.909074,1.267664,0.324288
200561777,910142147,XAUUSD,60,3.627143,19.530000,1.440000,5.384403,0.397007,0.073733
200562196,220159174,GBPJPY,60,0.203143,3.010000,0.010000,14.817159,0.049226,0.003322
200563243,913065166,XAUUSD,30,3.115714,8.310000,0.680000,2.667125,0.218249,0.081829
200564229,11151429,EURUSD,15,0.000646,0.002440,0.002020,3.778761,3.128319,0.827869
200566710,22042132,GBPJPY,240,0.448286,0.305000,2.203000,0.680370,4.914277,7.222951
200566717,22042161,GBPJPY,240,0.448286,0.283000,2.225000,0.631294,4.963352,7.862191
200566719,22045560,GBPJPY,240,0.448286,0.212000,2.160000,0.472913,4.818356,10.188679
200566721,17011586,USDJPY,60,0.155143,0.841000,0.000000,5.420810,0.000000,0.000000
200568692,223023153,GBPJPY,30,0.187786,0.103000,2.405000,0.548498,12.807151,23.349515
200568716,17017650,USDJPY,60,0.185500,0.201000,0.286000,1.083558,1.541779,1.422886
200570506,910142103,XAUUSD,60,3.637857,7.560000,9.590000,2.078146,2.636167,1.268519
200570568,220167120,GBPJPY,60,0.224143,2.315000,0.193000,10.328235,0.861058,0.083369
200573369,120156886,GBPUSD,60,0.001518,0.008210,0.007640,5.408941,5.033412,0.930572
200573388,20153210,EURJPY,15,0.069071,0.058000,0.557000,0.839710,8.064116,9.603448
200574545,223071158,GBPJPY,30,0.131286,0.135000,0.601000,1.028292,4.577802,4.451852
200576556,113014167,EURUSD,30,0.001321,0.002870,0.000110,2.171892,0.083243,0.038328
200579020,221575192,GBPJPY,15,0.136786,0.140000,0.190000,1.023499,1.389034,1.357143
200582370,203031880,EURJPY,30,0.251143,1.581000,0.601000,6.295222,2.393060,0.380139
200583463,17018110,USDJPY,60,0.184571,0.763000,0.067000,4.133901,0.363003,0.087811
200584932,17011586,USDJPY,60,0.226286,0.135000,0.211000,0.596591,0.932449,1.562963
200586491,223071158,GBPJPY,30,0.221429,0.168000,0.000000,0.758710,0.000000,0.000000
200587691,223030112,GBPJPY,30,0.279643,0.810000,1.174000,2.896552,4.198212,1.449383
200588636,223011130,GBPJPY,30,0.279643,0.241000,1.170000,0.861814,4.183908,4.854772
200589294,20153090,EURJPY,15,0.065643,0.184000,0.000000,2.803047,0.000000,0.000000
200589348,220149150,GBPJPY,60,0.308929,1.097000,1.323000,3.550983,4.282543,1.206016
200589372,800422054,GER40,240,45.607143,163.900000,56.700000,3.593735,1.243226,0.345943
200589445,221518164,GBPJPY,15,0.233429,1.110000,1.225000,4.755202,5.247858,1.103604
200589689,220198149,GBPJPY,60,0.299286,0.847000,0.582000,2.830072,1.944630,0.687131
200589693,220175167,GBPJPY,60,0.310429,1.584000,0.306000,5.102623,0.985734,0.193182
200590205,223022108,GBPJPY,30,0.188286,0.719000,0.560000,3.818665,2.974203,0.778860
200590794,220154117,GBPJPY,60,0.308929,0.075000,0.302000,0.242775,0.977572,4.026667
200590795,220141135,GBPJPY,60,0.310429,0.144000,0.186000,0.463875,0.599172,1.291667
200590817,910424666,XAUUSD,240,8.254286,5.510000,18.330000,0.667532,2.220665,3.326679
200591322,220118191,GBPJPY,60,0.263143,1.013000,1.435000,3.849620,5.453312,1.416584
200591674,220132119,GBPJPY,60,0.349143,0.794000,0.000000,2.274141,0.000000,0.000000
200592207,220177157,GBPJPY,60,0.308929,0.268000,1.143000,0.867514,3.699884,4.264925
200592208,120176143,GBPUSD,60,0.001427,0.013710,0.002140,9.606607,1.499499,0.156090
200592222,910122169,XAUUSD,60,3.627143,14.300000,6.670000,3.942497,1.838913,0.466434
