Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
216299808,910142103,XAUUSD,60,6.00000,-0.30000,5.00000,-0.50000,8.58000,24.31000,27.85000,8.78000,25.98000,10.81000,-0.09000,9.27000,8.78000,4.36000,32.71000,4056.00000,25236.00000
216305879,11042362,EURUSD,240,4.00000,-0.10000,7.00000,-0.30000,0.00070,0.00448,0.00949,,0.00461,,-0.00095,-0.00093,-0.00145,0.00425,0.01076,81534.00000,489114.00000
216308980,220111876,GBPJPY,60,8.00000,-0.20000,5.00000,-0.30000,0.09800,0.70800,0.31200,-0.03900,,,-0.06000,0.20900,0.25400,0.30900,0.46100,151.00000,8071.00000
216311538,91041141,XAUUSD,240,3.00000,0.10000,10.00000,-0.50000,-30.00000,-28.98000,3.20000,-28.17000,-19.39000,-16.88000,-31.55000,-21.26000,-18.70000,31.27000,5.63000,13386.00000,6546.00000
216319784,20153210,EURJPY,15,11.00000,-0.20000,1.00000,0.00000,-0.07000,0.36800,-0.07000,0.03900,-0.04200,-0.07100,-0.03200,-0.04800,-0.09000,0.63400,0.18000,145920.00000,21960.00000
216320952,223011130,GBPJPY,30,11.00000,-0.50000,6.00000,-0.30000,-0.70300,0.07500,-0.02400,-0.25100,-0.14400,,0.05500,0.06400,-0.19000,1.03500,0.11700,85626.00000,3006.00000
216322253,120100069,GBPUSD,60,6.00000,-0.30000,5.00000,0.30000,0.00600,0.02140,0.01603,0.00368,,,0.00120,0.00231,0.00103,0.00234,0.00628,369974.00000,454994.00000
216322526,201514104,EURJPY,15,4.00000,-0.10000,6.00000,-0.20000,-0.07000,0.13200,0.41500,0.22400,0.27500,,-0.01800,-0.00400,-0.01600,0.26900,0.51100,126739.00000,116779.00000
216324533,91303683,XAUUSD,30,10.00000,-0.40000,5.00000,0.20000,8.22000,38.38000,16.11000,-4.91000,1.09000,-3.58000,-2.72000,-0.29000,15.64000,8.18000,9.05000,832.00000,4372.00000
216324535,121554582,GBPUSD,15,10.00000,0.20000,2.00000,-0.10000,0.00702,0.00918,0.00738,0.00019,0.00959,,-0.00014,0.00058,0.00107,0.00251,0.01122,23932.00000,107572.00000
216325268,910143114,XAUUSD,60,6.00000,-0.20000,2.00000,-0.30000,32.37000,46.55000,33.36000,28.77000,22.60000,,12.28000,19.13000,25.28000,0.00000,35.76000,,14518.00000
216325271,910122169,XAUUSD,60,9.00000,-0.20000,2.00000,-0.30000,15.42000,47.85000,15.57000,12.57000,,,-2.33000,-1.37000,7.47000,10.22000,17.97000,832.00000,14332.00000
216325293,911547133,XAUUSD,15,8.00000,-0.20000,2.00000,-0.30000,18.37000,47.31000,19.04000,18.35000,,,-6.46000,1.42000,4.73000,6.75000,21.44000,875.00000,14375.00000
216325980,850443362,NAS100,240,8.00000,-0.50000,7.00000,-0.10000,0.00000,169.70000,255.70000,,223.20000,,-76.90000,57.90000,175.50000,122.40000,372.90000,15295.00000,98875.00000
216326427,913016114,XAUUSD,30,11.00000,-0.40000,5.00000,-0.20000,0.00000,35.16000,10.49000,-5.10000,12.09000,3.71000,-10.33000,-6.78000,7.24000,13.95000,11.89000,459.00000,5199.00000
216326784,913026119,XAUUSD,30,10.00000,-0.40000,2.00000,-0.30000,11.16000,46.80000,12.92000,10.63000,,,-10.35000,-6.80000,7.22000,13.97000,14.22000,459.00000,13959.00000
216326786,910142103,XAUUSD,60,9.00000,-0.20000,2.00000,-0.30000,14.80000,47.30000,15.50000,7.40000,10.69000,,-2.40000,-1.44000,7.40000,10.29000,17.90000,832.00000,14332.00000
216327776,910136160,XAUUSD,60,6.00000,-0.30000,7.00000,0.10000,13.90000,43.14000,19.51000,1.72000,14.93000,16.72000,0.20000,4.55000,11.32000,6.24000,19.60000,900.00000,5640.00000
216330323,22042132,GBPJPY,240,11.00000,-0.40000,6.00000,-0.40000,-0.59900,0.11200,0.01800,-0.31900,-0.09600,,-0.07000,-0.28900,-0.27700,0.93400,0.21800,90241.00000,7621.00000
216331199,220118191,GBPJPY,60,9.00000,-0.30000,5.00000,-0.20000,-0.48500,0.10800,0.19700,-0.03200,-0.04500,,-0.26500,-0.13000,0.10000,0.82400,0.32800,100825.00000,18205.00000
216332121,913073101,XAUUSD,30,6.00000,-0.40000,7.00000,-0.50000,-6.12000,6.42000,6.25000,3.92000,6.69000,,5.50000,-4.58000,-5.58000,8.33000,8.59000,2467.00000,1147.00000
216332138,11012014,EURUSD,60,8.00000,-0.50000,6.00000,-0.40000,-0.00073,0.00414,0.00225,0.00069,0.00004,,-0.00135,0.00044,0.00143,0.00192,0.00265,2996.00000,12596.00000
216332906,220111819,GBPJPY,60,4.00000,-0.30000,7.00000,0.30000,-1.08000,-0.49500,5.24400,-0.25900,,0.11900,-0.06000,0.00200,-0.00100,1.08800,2.18300,2268253.00000,1455553.00000
216332910,220112052,GBPJPY,60,10.00000,-0.50000,9.00000,-0.20000,-0.80900,-0.40800,0.18600,,,-0.44000,-0.08100,-0.04100,-0.10500,0.85400,0.26600,74591.00000,58271.00000
216336961,17017650,USDJPY,60,6.00000,-0.30000,6.00000,0.50000,-0.75700,0.01900,0.85100,0.36800,,,0.43300,0.68600,0.84000,0.75500,0.97000,214979.00000,12059.00000
216336969,223038149,GBPJPY,30,11.00000,-0.20000,3.00000,-0.50000,-0.35100,0.21200,-0.12600,,,,-0.13200,-0.22100,-0.16300,0.41600,0.00100,8767.00000,247.00000
216339173,11011147,EURUSD,60,6.00000,-0.50000,6.00000,-0.40000,0.00158,0.00402,0.00441,0.00426,0.00090,,0.00108,0.00287,0.00386,0.00000,0.00508,,12599.00000
216344752,220131160,GBPJPY,60,9.00000,0.20000,6.00000,-0.40000,-0.54600,-0.27000,0.13600,0.13400,-0.40300,,-0.27100,-0.27100,-0.20100,0.87900,0.24100,53108.00000,36788.00000
216362483,223022108,GBPJPY,30,8.00000,-0.50000,4.00000,-0.50000,-0.16700,0.24200,0.02800,-0.29300,,,0.04300,-0.06000,0.01500,0.23200,0.18700,9517.00000,697.00000
216365482,22011619,GBPJPY,60,7.00000,-0.30000,9.00000,0.50000,-0.33100,0.27800,1.45400,0.16000,-0.32000,0.10500,0.15200,0.37800,0.47700,0.88700,0.80600,130259.00000,392939.00000
216374023,22011049,GBPJPY,60,2.00000,0.10000,11.00000,0.40000,-0.43700,-0.34400,0.23200,-0.26700,-0.07900,-0.45900,0.00600,0.23200,0.33100,0.45900,0.52400,39539.00000,12179.00000
216377683,22011865,GBPJPY,60,10.00000,-0.30000,8.00000,-0.50000,-0.76400,-0.30500,-0.34300,-0.41400,-0.63700,-1.00800,-0.19700,-0.39900,-0.42500,0.76300,0.00000,24934.00000,
216440690,111572150,EURUSD,15,6.00000,-0.10000,2.00000,0.10000,0.00238,0.00427,0.00240,0.00252,0.00284,0.00255,-0.00046,0.00096,0.00162,0.00162,0.00392,1235.00000,67895.00000
216440720,110112110,EURUSD,60,11.00000,-0.40000,11.00000,-0.50000,-0.00242,-0.00128,-0.00102,0.00105,0.00118,0.00157,0.00055,0.00141,0.00162,0.00256,0.00000,440.00000,
